Label(A_A'_B_X),E_A1,E_A',E_P,E_K,E_H
Ag_Mo_Rh_O_,-2.725,-10.968,-66.629,-95.371,-72.541
Ag_Mo_Yb_Se_,-2.725,-10.968,-44.374,-68.936,-53.648
Ag_Na_Co_Te_,-2.725,-1.319,-48.839,-64.535,-48.367
Ag_Na_Cr_O_,-2.725,-1.319,-79.951,-106.621,-79.659
Ag_Na_Dy_O_,-2.725,-1.319,-79.174,-104.365,-79.417
Ag_Na_Er_Se_,-2.725,-1.319,-56.551,-76.113,-57.28
Ag_Na_Fe_O_,-2.725,-1.319,-72.126,-95.103,-71.982
Ag_Na_In_O_,-2.725,-1.319,-58.561,-77.514,-58.951
Ag_Na_La_O_,-2.725,-1.319,-79.318,-103.832,-79.421
Ag_Na_La_Te_,-2.725,-1.319,-53.111,-70.761,-53.321
Ag_Na_La_S_,-2.725,-1.319,-63.868,-85.299,-64.157
Ag_Na_Lu_Te_,-2.725,-1.319,-49.794,-66.864,-50.274
Ag_Na_Lu_S_,-2.725,-1.319,-62.079,-83.011,-62.493
Ag_Na_Mo_S_,-2.725,-1.319,-70.528,-94.402,-69.928
Ag_Na_Nd_Se_,-2.725,-1.319,-57.105,-76.812,-57.777
Ag_Na_Pr_O_,-2.725,-1.319,-77.636,-101.82,-77.787
Ag_Na_Pr_S_,-2.725,-1.319,-62.311,-83.292,-62.68
Ag_Na_Y_Te_,-2.725,-1.319,-56.415,-75.41,-56.942
Ag_Nd_Ce_S_,-2.725,-4.705,-62.225,-87.154,-66.621
Ag_Nd_Cr_O_,-2.725,-4.705,-79.951,-111.094,-83.639
Ag_Nd_Cs_Te_,-2.725,-4.705,-32.832,-49.994,-39.511
Ag_Nd_Dy_O_,-2.725,-4.705,-79.174,-109.961,-82.841
Ag_Nd_Ho_O_,-2.725,-4.705,-79.288,-110.106,-82.979
Ag_Nd_Ho_Se_,-2.725,-4.705,-56.63,-79.66,-60.794
Ag_Nd_K_S_,-2.725,-4.705,-40.89,-60.768,-47.56
Ag_Nd_Li_S_,-2.725,-4.705,-43.914,-64.443,-50.235
Ag_Nd_Lu_S_,-2.725,-4.705,-62.079,-86.312,-65.839
Ag_Nd_Mo_O_,-2.725,-4.705,-84.263,-117.296,-88.127
Ag_Nd_Sb_Te_,-2.725,-4.705,-40.472,-57.87,-44.211
Ag_Nd_Sr_S_,-2.725,-4.705,-48.481,-72.613,-56.476
Ag_Nd_Tb_Te_,-2.725,-4.705,-50.779,-71.656,-54.718
Ag_Nd_Tm_O_,-2.725,-4.705,-79.583,-110.468,-83.314
Ag_Nd_Yb_O_,-2.725,-4.705,-61.696,-93.045,-72.274
Ag_Ni_Ba_Se_,-2.725,-5.386,-45.636,-63.724,-48.156
Ag_Ni_Cr_O_,-2.725,-5.386,-79.951,-107.983,-83.107
Ag_Ni_Dy_Te_,-2.725,-5.386,-50.515,-70.103,-51.989
Ag_Ni_Fe_O_,-2.725,-5.386,-72.126,-96.67,-75.07
Ag_Ni_Hg_O_,-2.725,-5.386,-38.777,-57.79,-42.177
Ag_Ni_Mo_S_,-2.725,-5.386,-70.528,-95.437,-73.378
Ag_Ni_Pd_S_,-2.725,-5.386,-49.923,-69.225,-52.51
Ag_Ni_Pr_S_,-2.725,-5.386,-62.311,-84.148,-63.711
Ag_Ni_Sc_Se_,-2.725,-5.386,-60.417,-82.768,-61.683
Ag_Ni_V_S_,-2.725,-5.386,-65.659,-90.043,-69.394
Ag_Ni_Y_O_,-2.725,-5.386,-84.957,-112.117,-86.909
Ag_Pd_Al_S_,-2.725,-5.227,-52.814,-71.152,-54.536
Ag_Pd_Ga_Te_,-2.725,-5.227,-37.228,-52.977,-40.384
Ag_Pd_In_O_,-2.725,-5.227,-58.561,-77.751,-60.247
Ag_Pd_In_S_,-2.725,-5.227,-45.251,-61.906,-46.758
Ag_Pd_K_O_,-2.725,-5.227,-46.762,-68.21,-51.168
Ag_Pd_Mo_O_,-2.725,-5.227,-84.263,-114.146,-87.123
Ag_Pd_Na_O_,-2.725,-5.227,-48.742,-70.273,-53.206
Ag_Pd_Sm_S_,-2.725,-5.227,-62.339,-84.59,-64.146
Ag_Pd_Sr_S_,-2.725,-5.227,-48.481,-68.595,-51.8
Ag_Pr_Ca_Se_,-2.725,-4.725,-45.248,-67.917,-52.863
Ag_Pr_Ca_S_,-2.725,-4.725,-49.22,-74.057,-57.618
Ag_Pr_Ce_Se_,-2.725,-4.725,-57.093,-80.638,-61.607
Ag_Pr_Cr_O_,-2.725,-4.725,-79.951,-111.059,-83.577
Ag_Pr_Cs_Se_,-2.725,-4.725,-35.765,-54.923,-42.702
Ag_Pr_Cu_S_,-2.725,-4.725,-44.853,-65.4,-51.225
Ag_Pr_Eu_O_,-2.725,-4.725,-78.609,-109.177,-82.131
Ag_Pr_In_O_,-2.725,-4.725,-58.561,-82.977,-63.5
Ag_Pr_K_S_,-2.725,-4.725,-40.89,-60.723,-47.547
Ag_Pr_Rb_Te_,-2.725,-4.725,-33.186,-50.167,-39.588
Ag_Pr_Sn_O_,-2.725,-4.725,-60.762,-87.184,-67.246
Ag_Pr_Sn_Se_,-2.725,-4.725,-44.203,-64.541,-49.843
Ag_Pr_Sr_S_,-2.725,-4.725,-48.481,-72.57,-56.443
Ag_Pr_Tl_Te_,-2.725,-4.725,-34.58,-51.437,-39.918
Ag_Pr_Y_S_,-2.725,-4.725,-68.218,-94.836,-72.295
Ag_Pr_Yb_S_,-2.725,-4.725,-48.752,-73.132,-56.926
Ag_Pt_As_O_,-2.725,-6.119,-58.237,-81.48,-61.239
Ag_Pt_Ba_S_,-2.725,-6.119,-49.854,-70.007,-53.637
Ag_Pt_Cr_Te_,-2.725,-6.119,-54.24,-75.026,-57.799
Ag_Pt_Gd_O_,-2.725,-6.119,-78.784,-104.019,-80.962
Ag_Pt_Hg_O_,-2.725,-6.119,-38.777,-57.735,-42.524
Ag_Pt_K_O_,-2.725,-6.119,-46.762,-69.24,-48.162
Ag_Pt_Lu_S_,-2.725,-6.119,-62.079,-84.473,-63.842
Ag_Pt_Nd_S_,-2.725,-6.119,-62.359,-84.952,-64.167
Ag_Pt_Ni_O_,-2.725,-6.119,-61.392,-82.943,-64.989
Ag_Pt_Pd_Se_,-2.725,-6.119,-46.822,-66.152,-49.858
Ag_Pt_Pd_S_,-2.725,-6.119,-49.923,-69.938,-53.501
Ag_Pt_Pr_Te_,-2.725,-6.119,-51.502,-71.995,-54.321
Ag_Pt_Sm_O_,-2.725,-6.119,-78.201,-103.249,-80.44
Ag_Pt_Tb_S_,-2.725,-6.119,-62.395,-85.04,-64.16
Ag_Rb_Al_Te_,-2.725,-0.923,-40.722,-54.058,-40.236
Ag_Rb_As_S_,-2.725,-0.923,-47.359,-63.449,-46.957
Ag_Rb_Ca_Se_,-2.725,-0.923,-45.248,-60.06,-45.535
Ag_Rb_Ca_S_,-2.725,-0.923,-49.22,-65.493,-49.86
Ag_Rb_Co_O_,-2.725,-0.923,-68.597,-88.256,-65.887
Ag_Rb_Co_Te_,-2.725,-0.923,-48.839,-63.926,-47.831
Ag_Rb_Co_Se_,-2.725,-0.923,-52.758,-68.833,-51.49
Ag_Rb_Cr_O_,-2.725,-0.923,-79.951,-104.441,-77.183
Ag_Rb_Dy_S_,-2.725,-0.923,-62.35,-82.174,-61.728
Ag_Rb_Eu_S_,-2.725,-0.923,-62.361,-82.21,-61.762
Ag_Rb_Gd_Se_,-2.725,-0.923,-56.898,-75.67,-56.763
Ag_Rb_Hg_Te_,-2.725,-0.923,-27.614,-36.269,-26.924
Ag_Rb_In_Te_,-2.725,-0.923,-36.758,-48.497,-36.071
Ag_Rb_K_Se_,-2.725,-0.923,-37.209,-49.173,-37.029
Ag_Rb_La_O_,-2.725,-0.923,-79.318,-102.601,-78.211
Ag_Rb_Lu_Te_,-2.725,-0.923,-49.794,-66.089,-49.643
Ag_Rb_Ni_O_,-2.725,-0.923,-61.392,-79.026,-59.55
Ag_Rb_Pr_O_,-2.725,-0.923,-77.636,-100.505,-76.467
Ag_Rb_Pr_S_,-2.725,-0.923,-62.311,-82.088,-61.706
Ag_Rb_Pt_O_,-2.725,-0.923,-58.741,-77.457,-58.478
Ag_Rb_Pt_S_,-2.725,-0.923,-52.928,-69.522,-53.07
Ag_Rb_Rh_O_,-2.725,-0.923,-66.629,-86.335,-64.721
Ag_Rb_Tl_Te_,-2.725,-0.923,-34.58,-45.445,-33.595
Ag_Rh_Ca_S_,-2.725,-7.276,-49.22,-71.152,-55.436
Ag_Rh_Co_O_,-2.725,-7.276,-68.597,-92.811,-72.336
Ag_Rh_Co_S_,-2.725,-7.276,-57.856,-79.599,-61.242
Ag_Rh_Cu_Te_,-2.725,-7.276,-38.134,-55.707,-43.163
Ag_Rh_Er_S_,-2.725,-7.276,-62.255,-86.128,-65.021
Ag_Rh_Fe_Te_,-2.725,-7.276,-51.274,-72.934,-54.759
Ag_Rh_Ho_Te_,-2.725,-7.276,-50.362,-71.9,-53.71
Ag_Rh_In_Te_,-2.725,-7.276,-36.758,-54.078,-41.815
Ag_Rh_La_S_,-2.725,-7.276,-63.868,-88.5,-66.812
Ag_Rh_Li_O_,-2.725,-7.276,-51.409,-75.353,-55.261
Ag_Rh_Lu_O_,-2.725,-7.276,-79.801,-107.067,-82.266
Ag_Rh_Pd_Se_,-2.725,-7.276,-46.822,-67.66,-50.022
Ag_Rh_Sn_O_,-2.725,-7.276,-60.762,-83.457,-63.558
Ag_Rh_Sr_O_,-2.725,-7.276,-58.672,-84.138,-63.684
Ag_Rh_Zr_S_,-2.725,-7.276,-70.824,-98.088,-74.244
Ag_Sb_As_Se_,-2.725,-4.008,-44.147,-59.767,-44.863
Ag_Sb_Ba_O_,-2.725,-4.008,-58.331,-84.387,-61.383
Ag_Sb_Bi_Se_,-2.725,-4.008,-44.01,-59.148,-44.513
Ag_Sb_Ce_Se_,-2.725,-4.008,-57.093,-76.591,-57.324
Ag_Sb_Ce_S_,-2.725,-4.008,-62.225,-82.71,-62.073
Ag_Sb_Co_S_,-2.725,-4.008,-57.856,-76.441,-58.679
Ag_Sb_Cs_Te_,-2.725,-4.008,-32.832,-46.205,-35.335
Ag_Sb_La_S_,-2.725,-4.008,-63.868,-84.836,-63.672
Ag_Sb_Li_O_,-2.725,-4.008,-51.409,-77.035,-59.347
Ag_Sb_Na_O_,-2.725,-4.008,-48.742,-73.573,-56.563
Ag_Sb_Na_Se_,-2.725,-4.008,-38.061,-52.365,-39.857
Ag_Sb_Nd_S_,-2.725,-4.008,-62.359,-82.943,-62.274
Ag_Sb_Pr_S_,-2.725,-4.008,-62.311,-82.864,-62.201
Ag_Sb_Rh_Te_,-2.725,-4.008,-51.307,-68.627,-52.072
Ag_Sb_Rh_Se_,-2.725,-4.008,-54.397,-72.654,-54.976
Ag_Sb_Tb_Se_,-2.725,-4.008,-56.805,-76.208,-57.161
Ag_Sb_Tl_O_,-2.725,-4.008,-50.217,-70.889,-51.525
Ag_Sb_Tm_Se_,-2.725,-4.008,-56.451,-75.519,-56.76
Ag_Sc_Cr_O_,-2.725,-6.201,-79.951,-112.142,-85.738
Ag_Sc_Cs_S_,-2.725,-6.201,-39.661,-60.963,-46.741
Ag_Sc_Er_Se_,-2.725,-6.201,-56.551,-80.477,-61.414
Ag_Sc_Fe_O_,-2.725,-6.201,-72.126,-101.224,-78.101
Ag_Sc_Gd_S_,-2.725,-6.201,-62.424,-88.466,-67.709
Ag_Sc_In_O_,-2.725,-6.201,-58.561,-84.409,-64.332
Ag_Sc_Na_S_,-2.725,-6.201,-41.75,-63.135,-49.336
Ag_Sc_Pt_Te_,-2.725,-6.201,-47.293,-67.609,-51.873
Ag_Sc_V_S_,-2.725,-6.201,-65.659,-94.431,-71.25
Ag_Sc_Y_Te_,-2.725,-6.201,-56.415,-80.158,-61.284
Ag_Sc_Zr_Se_,-2.725,-6.201,-64.883,-92.176,-69.88
Ag_Sm_Bi_Te_,-2.725,-4.636,-40.47,-57.792,-44.093
Ag_Sm_Co_Se_,-2.725,-4.636,-52.758,-74.172,-56.894
Ag_Sm_Cr_O_,-2.725,-4.636,-79.951,-111.077,-83.493
Ag_Sm_Eu_Te_,-2.725,-4.636,-51.018,-71.93,-54.92
Ag_Sm_Eu_Se_,-2.725,-4.636,-56.912,-80.222,-61.235
Ag_Sm_Rb_Te_,-2.725,-4.636,-33.186,-50.055,-39.503
Ag_Sm_Rb_S_,-2.725,-4.636,-39.883,-59.961,-46.513
Ag_Sm_Sb_Se_,-2.725,-4.636,-43.803,-62.917,-48.198
Ag_Sm_Sc_Te_,-2.725,-4.636,-54.172,-76.335,-58.253
Ag_Sm_Sn_Te_,-2.725,-4.636,-40.575,-58.911,-45.375
Ag_Sm_Sr_S_,-2.725,-4.636,-48.481,-72.642,-56.487
Ag_Sm_Tl_O_,-2.725,-4.636,-50.217,-74.492,-58.103
Ag_Sm_Tl_S_,-2.725,-4.636,-40.223,-60.676,-47.279
Ag_Sm_Tm_Se_,-2.725,-4.636,-56.451,-79.165,-60.373
Ag_Sm_Tm_S_,-2.725,-4.636,-62.195,-86.572,-66.036
Ag_Sm_Yb_O_,-2.725,-4.636,-61.696,-93.263,-72.465
Ag_Sm_Yb_Se_,-2.725,-4.636,-44.374,-66.69,-51.934
Ag_Sn_Ce_S_,-2.725,-3.797,-62.225,-82.562,-62.347
Ag_Sn_Cs_Te_,-2.725,-3.797,-32.832,-46.289,-34.672
Ag_Sn_Fe_Se_,-2.725,-3.797,-55.245,-74.154,-56.336
Ag_Sn_Hg_S_,-2.725,-3.797,-32.66,-46.689,-35.557
Ag_Sn_Lu_S_,-2.725,-3.797,-62.079,-82.509,-62.19
Ag_Sn_Mo_Te_,-2.725,-3.797,-59.209,-80.522,-60.54
Ag_Sn_Mo_Se_,-2.725,-3.797,-64.706,-87.315,-66.175
Ag_Sn_Rb_Te_,-2.725,-3.797,-33.186,-46.446,-35.558
Ag_Sn_Tl_O_,-2.725,-3.797,-50.217,-70.356,-51.684
Ag_Sn_Tm_S_,-2.725,-3.797,-62.195,-82.742,-62.329
Ag_Sr_Al_Se_,-2.725,-1.634,-46.9,-63.8,-48.247
Ag_Sr_As_S_,-2.725,-1.634,-47.359,-65.429,-49.367
Ag_Sr_Bi_S_,-2.725,-1.634,-47.303,-65.139,-49.405
Ag_Sr_Ca_Te_,-2.725,-1.634,-40.77,-56.846,-43.933
Ag_Sr_Ce_O_,-2.725,-1.634,-77.243,-103.055,-77.832
Ag_Sr_Ce_Se_,-2.725,-1.634,-57.093,-77.833,-58.894
Ag_Sr_Ce_S_,-2.725,-1.634,-62.225,-84.178,-63.749
Ag_Sr_Co_Se_,-2.725,-1.634,-52.758,-71.294,-54.023
Ag_Sr_Co_S_,-2.725,-1.634,-57.856,-77.511,-58.727
Ag_Sr_Cr_O_,-2.725,-1.634,-79.951,-107.506,-80.145
Ag_Sr_Cr_Te_,-2.725,-1.634,-54.24,-73.651,-55.031
Ag_Sr_Cs_Te_,-2.725,-1.634,-32.832,-46.275,-35.676
Ag_Sr_Er_Se_,-2.725,-1.634,-56.551,-76.998,-58.219
Ag_Sr_Ga_O_,-2.725,-1.634,-62.148,-83.549,-63.154
Ag_Sr_Ho_Te_,-2.725,-1.634,-50.362,-68.725,-51.939
Ag_Sr_In_O_,-2.725,-1.634,-58.561,-79.818,-60.554
Ag_Sr_K_Te_,-2.725,-1.634,-33.853,-47.256,-35.681
Ag_Sr_K_S_,-2.725,-1.634,-40.89,-55.998,-42.974
Ag_Sr_Ni_S_,-2.725,-1.634,-51.556,-70.218,-53.83
Ag_Sr_Pd_Te_,-2.725,-1.634,-44.664,-60.818,-46.313
Ag_Sr_Pr_Se_,-2.725,-1.634,-57.119,-77.897,-58.941
Ag_Sr_Pt_Te_,-2.725,-1.634,-47.293,-63.987,-48.815
Ag_Sr_Pt_Se_,-2.725,-1.634,-49.199,-67.286,-51.813
Ag_Sr_Rb_Te_,-2.725,-1.634,-33.186,-46.505,-35.154
Ag_Sr_Rh_O_,-2.725,-1.634,-66.629,-89.463,-67.908
Ag_Sr_Sc_Te_,-2.725,-1.634,-54.172,-73.909,-55.867
Ag_Sr_Sn_Te_,-2.725,-1.634,-40.575,-55.68,-42.136
Ag_Sr_Tb_Te_,-2.725,-1.634,-50.779,-69.175,-52.288
Ag_Sr_Tb_Se_,-2.725,-1.634,-56.805,-77.479,-58.601
Ag_Sr_Tm_S_,-2.725,-1.634,-62.195,-84.002,-63.517
Ag_Sr_Y_S_,-2.725,-1.634,-68.218,-92.139,-69.642
Ag_Tb_As_Te_,-2.725,-4.553,-41.035,-58.736,-44.747
Ag_Tb_Ba_Se_,-2.725,-4.553,-45.636,-67.425,-52.294
Ag_Tb_Cu_Se_,-2.725,-4.553,-41.281,-60.23,-46.898
Ag_Tb_Eu_Te_,-2.725,-4.553,-51.018,-71.766,-54.758
Ag_Tb_Eu_S_,-2.725,-4.553,-62.361,-87.193,-66.534
Ag_Tb_Hg_Te_,-2.725,-4.553,-27.614,-41.781,-32.293
Ag_Tb_Hg_Se_,-2.725,-4.553,-30.05,-46.515,-36.087
Ag_Tb_Pt_O_,-2.725,-4.553,-58.741,-83.619,-67.087
Ag_Tb_Tl_Se_,-2.725,-4.553,-37.416,-56.272,-43.812
Ag_Tb_Zr_O_,-2.725,-4.553,-89.717,-123.1,-93.043
Ag_Tl_Ba_Se_,-2.725,-2.269,-45.636,-60.621,-46.122
Ag_Tl_Ba_S_,-2.725,-2.269,-49.854,-65.582,-49.083
Ag_Tl_Bi_O_,-2.725,-2.269,-58.779,-77.493,-58.199
Ag_Tl_Ce_O_,-2.725,-2.269,-77.243,-100.134,-76.271
Ag_Tl_Ce_Se_,-2.725,-2.269,-57.093,-75.984,-57.115
Ag_Tl_Ce_S_,-2.725,-2.269,-62.225,-82.108,-61.767
Ag_Tl_Cr_O_,-2.725,-2.269,-79.951,-106.736,-79.967
Ag_Tl_Cr_Se_,-2.725,-2.269,-59.761,-79.229,-59.456
Ag_Tl_Cu_Te_,-2.725,-2.269,-38.134,-50.271,-37.906
Ag_Tl_Ho_O_,-2.725,-2.269,-79.288,-103.361,-78.447
Ag_Tl_In_O_,-2.725,-2.269,-58.561,-76.52,-58.087
Ag_Tl_Sc_O_,-2.725,-2.269,-84.237,-110.292,-83.483
Ag_Tl_Sc_Te_,-2.725,-2.269,-54.172,-72.246,-54.225
Ag_Tl_Sm_Se_,-2.725,-2.269,-56.959,-75.864,-56.992
Ag_Tl_Tb_S_,-2.725,-2.269,-62.395,-82.361,-61.881
Ag_Tl_Yb_S_,-2.725,-2.269,-48.752,-65.601,-49.23
Ag_Tl_Zr_O_,-2.725,-2.269,-89.717,-119.66,-89.799
Ag_Tm_Al_O_,-2.725,-4.472,-72.902,-100.236,-76.829
Ag_Tm_Al_Se_,-2.725,-4.472,-46.9,-65.927,-50.408
Ag_Tm_Co_S_,-2.725,-4.472,-57.856,-80.343,-61.578
Ag_Tm_Cs_Se_,-2.725,-4.472,-35.765,-54.819,-42.57
Ag_Tm_Er_Te_,-2.725,-4.472,-50.198,-70.29,-53.515
Ag_Tm_Gd_Se_,-2.725,-4.472,-56.898,-79.81,-60.802
Ag_Tm_In_Se_,-2.725,-4.472,-40.835,-59.803,-46.093
Ag_Tm_Na_Se_,-2.725,-4.472,-38.061,-56.458,-43.943
Ag_Tm_Na_S_,-2.725,-4.472,-41.75,-61.758,-48.071
Ag_Tm_Pd_Se_,-2.725,-4.472,-46.822,-68.244,-52.036
Ag_Tm_Pt_S_,-2.725,-4.472,-52.928,-76.288,-58.87
Ag_Tm_Sn_Se_,-2.725,-4.472,-44.203,-64.409,-49.663
Ag_Tm_Sn_S_,-2.725,-4.472,-47.56,-69.51,-53.652
Ag_Tm_Sr_Se_,-2.725,-4.472,-44.712,-66.655,-51.785
Ag_Tm_V_O_,-2.725,-4.472,-82.746,-114.005,-86.767
Ag_V_Co_Te_,-2.725,-8.955,-48.839,-68.976,-52.766
Ag_V_Cr_O_,-2.725,-8.955,-79.951,-111.126,-86.063
Ag_V_Eu_O_,-2.725,-8.955,-78.609,-107.583,-83.912
Ag_V_K_S_,-2.725,-8.955,-40.89,-61.488,-48.731
Ag_V_Li_Te_,-2.725,-8.955,-36.042,-55.17,-42.797
Ag_V_Lu_O_,-2.725,-8.955,-79.801,-108.847,-84.962
Ag_V_Pd_O_,-2.725,-8.955,-57.013,-84.86,-63.832
Ag_V_Pr_S_,-2.725,-8.955,-62.311,-88.25,-67.658
Ag_V_Pt_O_,-2.725,-8.955,-58.741,-88.449,-64.937
Ag_V_Pt_Te_,-2.725,-8.955,-47.293,-67.52,-51.83
Ag_V_Sb_Te_,-2.725,-8.955,-40.472,-58.757,-45.084
Ag_V_Sb_Se_,-2.725,-8.955,-43.803,-63.444,-48.896
Ag_V_Sn_O_,-2.725,-8.955,-60.762,-87.498,-65.289
Ag_V_Sr_Se_,-2.725,-8.955,-44.712,-67.889,-52.407
Ag_V_Tb_Te_,-2.725,-8.955,-50.779,-73.422,-55.395
Ag_V_Tl_Se_,-2.725,-8.955,-37.416,-57.909,-45.275
Ag_V_Tm_O_,-2.725,-8.955,-79.583,-108.6,-84.773
Ag_Y_Eu_S_,-2.725,-6.427,-62.361,-89.105,-68.44
Ag_Y_In_O_,-2.725,-6.427,-58.561,-85.096,-64.954
Ag_Y_Lu_Se_,-2.725,-6.427,-56.266,-80.495,-61.757
Ag_Y_Ni_S_,-2.725,-6.427,-51.556,-75.714,-59.037
Ag_Y_Rh_O_,-2.725,-6.427,-66.629,-94.848,-72.769
Ag_Y_Rh_Te_,-2.725,-6.427,-51.307,-73.727,-56.76
Ag_Yb_Ga_Te_,-2.725,-1.468,-37.228,-51.217,-38.796
Ag_Yb_Ga_S_,-2.725,-1.468,-46.321,-63.71,-48.381
Ag_Yb_Mo_O_,-2.725,-1.468,-84.263,-114.451,-85.605
Ag_Yb_Na_Te_,-2.725,-1.468,-34.336,-47.43,-36.072
Ag_Yb_Pd_Te_,-2.725,-1.468,-44.664,-60.731,-45.959
Ag_Yb_Pr_Te_,-2.725,-1.468,-51.502,-69.919,-52.827
Ag_Yb_Rb_Se_,-2.725,-1.468,-36.025,-50.735,-39.291
Ag_Yb_Sr_Se_,-2.725,-1.468,-44.712,-62.599,-48.306
Ag_Yb_Tl_S_,-2.725,-1.468,-40.223,-56.786,-43.365
Ag_Yb_Y_Te_,-2.725,-1.468,-56.415,-76.647,-57.842
Ag_Yb_Zr_Te_,-2.725,-1.468,-58.591,-79.286,-59.867
Ag_Zr_Cu_Se_,-2.725,-8.521,-41.281,-63.602,-49.779
Ag_Zr_Fe_Te_,-2.725,-8.521,-51.274,-75.682,-56.636
Ag_Zr_Fe_S_,-2.725,-8.521,-60.595,-88.113,-67.417
Ag_Zr_Hg_S_,-2.725,-8.521,-32.66,-54.307,-43.285
Ag_Zr_La_Se_,-2.725,-8.521,-58.697,-84.999,-65.518
Ag_Zr_Lu_Te_,-2.725,-8.521,-49.794,-72.067,-55.471
Ag_Zr_Lu_S_,-2.725,-8.521,-62.079,-88.605,-68.109
Ag_Zr_Pr_Se_,-2.725,-8.521,-57.119,-83.045,-63.998
Ag_Zr_Rb_Se_,-2.725,-8.521,-36.025,-58.712,-46.086
Ag_Zr_Sb_Te_,-2.725,-8.521,-40.472,-60.101,-46.232
Ag_Zr_Sn_O_,-2.725,-8.521,-60.762,-90.259,-67.364
Ag_Zr_Y_S_,-2.725,-8.521,-68.218,-97.275,-74.703
Al_Ag_As_O_,-3.738,-2.725,-75.034,-95.868,-63.01
Al_Ag_Ca_O_,-3.738,-2.725,-76.4,-96.64,-72.345
Al_Ag_Ga_O_,-3.738,-2.725,-70.125,-85.745,-66.629
Al_Ag_Gd_S_,-3.738,-2.725,-63.994,-84.297,-63.567
Al_Ag_Mo_O_,-3.738,-2.725,-92.097,-117.413,-89.179
Al_Ag_Na_Se_,-3.738,-2.725,-48.18,-60.636,-44.944
Al_Ag_Rb_Se_,-3.738,-2.725,-46.436,-58.459,-43.971
Al_Ag_Rh_Te_,-3.738,-2.725,-54.158,-71.141,-53.077
Al_Ag_Sb_S_,-3.738,-2.725,-54.261,-70.9,-51.625
Al_Ag_Sc_S_,-3.738,-2.725,-68.41,-89.991,-67.491
Al_Ag_Sn_S_,-3.738,-2.725,-55.719,-70.598,-52.22
Al_Ag_Zr_O_,-3.738,-2.725,-93.478,-121.306,-91.534
Al_As_Ag_Se_,-3.738,-4.581,-46.358,-61.453,-45.714
Al_As_Bi_Te_,-3.738,-4.581,-43.417,-57.935,-43.549
Al_As_Ca_S_,-3.738,-4.581,-56.351,-74.29,-57.027
Al_As_Co_Te_,-3.738,-4.581,-51.404,-68.88,-52.181
Al_As_Cr_S_,-3.738,-4.581,-69.05,-91.384,-69.568
Al_As_Er_S_,-3.738,-4.581,-63.786,-84.276,-64.858
Al_As_Fe_O_,-3.738,-4.581,-81.234,-106.943,-80.184
Al_As_Fe_S_,-3.738,-4.581,-64.119,-85.143,-64.459
Al_As_In_Te_,-3.738,-4.581,-41.316,-55.187,-41.418
Al_As_K_S_,-3.738,-4.581,-52.776,-68.768,-50.249
Al_As_Pd_O_,-3.738,-4.581,-80.639,-97.218,-65.636
Al_As_Pt_Se_,-3.738,-4.581,-53.955,-71.391,-54.678
Al_As_Sm_O_,-3.738,-4.581,-85.228,-105.413,-85.651
Al_As_Tb_Te_,-3.738,-4.581,-53.044,-69.889,-52.266
Al_As_Tl_O_,-3.738,-4.581,-70.672,-91.117,-65.647
Al_As_V_Te_,-3.738,-4.581,-56.685,-76.273,-58.62
Al_As_V_Se_,-3.738,-4.581,-63.774,-84.551,-64.906
Al_As_Y_O_,-3.738,-4.581,-91.815,-114.605,-91.678
Al_As_Y_Se_,-3.738,-4.581,-64.654,-85.374,-64.968
Al_As_Yb_S_,-3.738,-4.581,-55.475,-73.401,-56.165
Al_Ba_Ce_Se_,-3.738,-1.914,-59.011,-80.409,-60.769
Al_Ba_Co_Se_,-3.738,-1.914,-55.188,-74.081,-56.606
Al_Ba_Cs_Se_,-3.738,-1.914,-45.942,-59.546,-46.196
Al_Ba_Cu_O_,-3.738,-1.914,-74.053,-92.975,-71.007
Al_Ba_Eu_O_,-3.738,-1.914,-85.5,-107.924,-82.802
Al_Ba_Gd_O_,-3.738,-1.914,-85.774,-108.36,-83.093
Al_Ba_Hg_S_,-3.738,-1.914,-42.866,-55.826,-43.518
Al_Ba_Ho_O_,-3.738,-1.914,-86.148,-109.011,-83.501
Al_Ba_In_O_,-3.738,-1.914,-65.63,-82.211,-63.232
Al_Ba_K_S_,-3.738,-1.914,-52.776,-67.077,-51.126
Al_Ba_La_Te_,-3.738,-1.914,-54.823,-74.42,-56.18
Al_Ba_Na_Se_,-3.738,-1.914,-48.18,-61.646,-46.788
Al_Ba_Nd_O_,-3.738,-1.914,-84.814,-106.82,-82.117
Al_Ba_Pt_Te_,-3.738,-1.914,-50.628,-67.18,-50.898
Al_Ba_Tb_O_,-3.738,-1.914,-85.922,-108.612,-83.253
Al_Bi_Co_Te_,-3.738,-3.743,-51.404,-67.781,-51.27
Al_Bi_Cs_Te_,-3.738,-3.743,-40.075,-53.389,-39.85
Al_Bi_Lu_S_,-3.738,-3.743,-63.627,-84.307,-64.316
Al_Bi_Pr_O_,-3.738,-3.743,-84.495,-104.488,-83.674
Al_Bi_Rb_O_,-3.738,-3.743,-69.347,-87.428,-65.103
Al_Bi_Rb_Te_,-3.738,-3.743,-40.403,-53.693,-39.629
Al_Bi_Rh_O_,-3.738,-3.743,-79.833,-101.655,-72.698
Al_Bi_Rh_Se_,-3.738,-3.743,-56.603,-78.26,-57.052
Al_Bi_Sb_S_,-3.738,-3.743,-54.261,-72.383,-51.499
